0431804 0252978 0291357 0690587	CLASS=VIDEO
0256265 1108513 0312896 0694599 0568179	CLASS=VIDEO
0584421 0374599 1108513 0694263	CLASS=TRAVEL
0381742 0920200 0501843	CLASS=VIDEO
1004338 0399721 0610559 0138873	CLASS=GAME
1020336 0792288 0509847 0762000 0694263 0588522 0456713 0762000	CLASS=TRAVEL
0884284 0544249 0643407 0002223 0642444 0673355 0193543	CLASS=VIDEO
0011134 1000519 0056352 0825705 0005799 0679140 0401401	CLASS=LOTTERY
0031957 1129727 0581561 0682906 0424184 0344093 0553058 0387202	CLASS=OTHER
0703169 0464473	CLASS=VIDEO
0792288 0509847 0762000 0553058 0387202	CLASS=TRAVEL
0276577 0934701 0291357 0015862 0056352	CLASS=VIDEO
0591028 0215453	CLASS=VIDEO
1001484 0612640 0610559 0138873	CLASS=GAME
0591028 1020765 0594154 0904305 0078253 0283234	CLASS=VIDEO
0158475 0118175	CLASS=VIDEO
1080915 1034530	CLASS=VIDEO
0835468 0835468 0590916 0329263 0603426	CLASS=VIDEO
0162820 0042895	CLASS=GAME
0956229 0519084	CLASS=OTHER
0256385 0685033 0855657 0040854	CLASS=NOVEL
0040402 0054135 1092846	CLASS=VIDEO
0718962 1015037 0269757 0269757 0290159	CLASS=VIDEO
0590916 0718962 0861055 0931307	CLASS=VIDEO | CLASS=NOVEL
0568178 0826184 0638714	CLASS=VIDEO
0871143 0479741 0067636 0329263	CLASS=VIDEO
1065334 1018962 0071322 0618793 0730659	CLASS=OTHER
0219176	CLASS=VIDEO
1014832 0718963	CLASS=VIDEO
0062443 1005212 0429863 1107655	CLASS=VIDEO | CLASS=GAME
0839243 1127887	CLASS=VIDEO
0839243 1117755 0744063	CLASS=VIDEO
0194326 0085828 0762000	CLASS=TRAVEL
0772486 1112487 0792288 0509847 0129267 0899669 0699511	CLASS=OTHER
0694263 0020370 0162820 0042895	CLASS=GAME
1090581 1065437 0412439	CLASS=VIDEO | CLASS=GAME
0237157 0871927	CLASS=VIDEO
1057399 0517582 0158124 0054135 0291357 0424184 0517458 0686684	CLASS=VIDEO
0417191 0825705 0005799 0679140 0401401	CLASS=LOTTERY
0020618 0849589	CLASS=VIDEO
0664000 0828628 0781505 0836656 0104962 0329263 0836327	CLASS=NOVEL
0031957 0718962 0977270 0785637 0910802	CLASS=VIDEO
0715282 0162820	CLASS=TRAVEL
0855657 0401268 0339875	CLASS=NOVEL
0715282 0162820 0694263	CLASS=TRAVEL
0631729 0098367 0162820 0042895	CLASS=GAME | CLASS=VIDEO
1044672 0816894 0412439 1067504	CLASS=VIDEO
0014376 0747808 0694263 0128578 0432118 0260395 0456713	CLASS=TRAVEL | CLASS=OTHER
0415536 0727209 0472212	CLASS=VIDEO
0584421 0374599 1108513 0255587 0130933 0085828 0762000	CLASS=TRAVEL
0530730 0530730 0685032 0588086 0509847	CLASS=GAME
0591028 0718962 0071322	CLASS=VIDEO
0339875 0381742	CLASS=GAME | CLASS=VIDEO
0031957 0718962 0977270 0905533 0593913	CLASS=VIDEO
0040854 0099240	CLASS=VIDEO
1062359 0925859 1112834	CLASS=VIDEO
0855657 0872185 0491936 0162820 1046420	CLASS=GAME | CLASS=VIDEO
1014832 0612638	CLASS=OTHER
0909598 0885807	CLASS=VIDEO
0678219 1117755 0745266	CLASS=VIDEO
0225843 0557561 0412439 1047250	CLASS=VIDEO | CLASS=GAME
0584421 0374599	CLASS=TRAVEL
0863141 0836656 0346881	CLASS=VIDEO
1092846 0401401 0295063 0733318 0690587	CLASS=VIDEO | CLASS=NOVEL
0118175 0934701 0329596	CLASS=VIDEO
0260751 0047308 1134369	CLASS=VIDEO
0505643 0448040 0054135 0544249	CLASS=VIDEO
0718962 0398838	CLASS=TRAVEL
0700737 0080861	CLASS=VIDEO
0685033 0641806 0113476	CLASS=VIDEO
0727209 0033554 1091164	CLASS=VIDEO
0727209 0711085 0660393	CLASS=OTHER
0412439 0869266 0194326 0509847 0964508 0084330 0612638 0918837	CLASS=GAME
0287244 0539460 0886711 0235030 0410579 0255587	CLASS=VIDEO
1094673 0637615	CLASS=VIDEO
0365330 0479957 0747808 0948266	CLASS=VIDEO
1073023 0718961	CLASS=VIDEO
0592426 0039969	CLASS=VIDEO
1087601 0123344 0609399 1123223	CLASS=GAME
1000519 1123536	CLASS=VIDEO
1015037 0855657 0191882 0603426 0694263 0588522 0191882 0603426	CLASS=OTHER
0629247 0536665	CLASS=VIDEO
1090581 1065437 0412439 1046420	CLASS=GAME | CLASS=VIDEO
0999132 0858023 0694263	CLASS=OTHER
0854024 0576480 0855657 0429281 0361819	CLASS=VIDEO
0608620 0588637	CLASS=VIDEO
0429281 0225057 1025301 0123480 1062359	CLASS=OTHER
0629247 0878719 0458582	CLASS=VIDEO
0694263 0588522 0456713 0792288 0509847 0762000 0664000 0694263	CLASS=TRAVEL
0295166 0449930 0836656 0441517 1047250	CLASS=VIDEO | CLASS=GAME
0295063 0291357 0491936 0162820	CLASS=VIDEO
